query_type	relation	query	correct output	system output	ssg output	Exact Match	Soft Match
bool	P54	Is 2013 FIA World Endurance Championship part of Wales?	['FALSE']	[[0, 2]]	[[[0, '2013 FIA World Endurance Championship team Larbre Compétition']], [[1, '2013 FIA World Endurance Championship team Porsche AG Team Manthey Racing']], [[2, '2013 FIA World Endurance Championship team Larbre Compétition']], [[0, '2013 FIA World Endurance Championship team Larbre Compétition'], [1, '2013 FIA World Endurance Championship team Porsche AG Team Manthey Racing']], [[0, '2013 FIA World Endurance Championship team Larbre Compétition'], [2, '2013 FIA World Endurance Championship team Larbre Compétition']], [[1, '2013 FIA World Endurance Championship team Porsche AG Team Manthey Racing'], [2, '2013 FIA World Endurance Championship team Larbre Compétition']]]	1	1
set	P54	1997 World Artistic Gymnastics Championships is a member of which teams?	[]	None	[[]]	0	0
bool	P118	Does Pali Blues participate in 1st?	['FALSE']	[[4]]	[[[0, 'FK Sarajevo league 1st'], [4, 'Pali Blues league W-League']]]	0	1
min/max	P118	Who has participated in the least number of leagues?	['FK Sarajevo', 'Paysandu Sport Club', 'Pali Blues']	None	[[]]	0	0
min/max	P54	Who has played for the fewest teams?	['2013 FIA World Endurance Championship']	None	[[]]	0	0
set	P54	List teams 2013 FIA World Endurance Championship plays for	['OAK Racing', 'Aston Martin Racing']	[[0, 5], [1, 4]]	[[[0, '2013 FIA World Endurance Championship team OAK Racing']], [[1, '2013 FIA World Endurance Championship team Aston Martin Racing']], [[2, '2013 FIA World Endurance Championship team G-Drive Racing']], [[3, '2013 FIA World Endurance Championship team Lotus']], [[4, '2013 FIA World Endurance Championship team Aston Martin Racing']], [[5, '2013 FIA World Endurance Championship team OAK Racing']], [[6, '2013 FIA World Endurance Championship team 8 Star Motorsports']], [[0, '2013 FIA World Endurance Championship team OAK Racing'], [1, '2013 FIA World Endurance Championship team Aston Martin Racing']], [[0, '2013 FIA World Endurance Championship team OAK Racing'], [2, '2013 FIA World Endurance Championship team G-Drive Racing']], [[0, '2013 FIA World Endurance Championship team OAK Racing'], [3, '2013 FIA World Endurance Championship team Lotus']], [[0, '2013 FIA World Endurance Championship team OAK Racing'], [4, '2013 FIA World Endurance Championship team Aston Martin Racing']], [[0, '2013 FIA World Endurance Championship team OAK Racing'], [5, '2013 FIA World Endurance Championship team OAK Racing']], [[0, '2013 FIA World Endurance Championship team OAK Racing'], [6, '2013 FIA World Endurance Championship team 8 Star Motorsports']], [[1, '2013 FIA World Endurance Championship team Aston Martin Racing'], [2, '2013 FIA World Endurance Championship team G-Drive Racing']], [[1, '2013 FIA World Endurance Championship team Aston Martin Racing'], [3, '2013 FIA World Endurance Championship team Lotus']], [[1, '2013 FIA World Endurance Championship team Aston Martin Racing'], [4, '2013 FIA World Endurance Championship team Aston Martin Racing']], [[1, '2013 FIA World Endurance Championship team Aston Martin Racing'], [5, '2013 FIA World Endurance Championship team OAK Racing']], [[1, '2013 FIA World Endurance Championship team Aston Martin Racing'], [6, '2013 FIA World Endurance Championship team 8 Star Motorsports']], [[2, '2013 FIA World Endurance Championship team G-Drive Racing'], [3, '2013 FIA World Endurance Championship team Lotus']], [[2, '2013 FIA World Endurance Championship team G-Drive Racing'], [4, '2013 FIA World Endurance Championship team Aston Martin Racing']], [[2, '2013 FIA World Endurance Championship team G-Drive Racing'], [5, '2013 FIA World Endurance Championship team OAK Racing']], [[2, '2013 FIA World Endurance Championship team G-Drive Racing'], [6, '2013 FIA World Endurance Championship team 8 Star Motorsports']], [[3, '2013 FIA World Endurance Championship team Lotus'], [4, '2013 FIA World Endurance Championship team Aston Martin Racing']], [[3, '2013 FIA World Endurance Championship team Lotus'], [5, '2013 FIA World Endurance Championship team OAK Racing']], [[3, '2013 FIA World Endurance Championship team Lotus'], [6, '2013 FIA World Endurance Championship team 8 Star Motorsports']], [[4, '2013 FIA World Endurance Championship team Aston Martin Racing'], [5, '2013 FIA World Endurance Championship team OAK Racing']], [[4, '2013 FIA World Endurance Championship team Aston Martin Racing'], [6, '2013 FIA World Endurance Championship team 8 Star Motorsports']], [[5, '2013 FIA World Endurance Championship team OAK Racing'], [6, '2013 FIA World Endurance Championship team 8 Star Motorsports']]]	1	1
min/max	P54	Who has played for the highest number of teams?	['UEFA Euro 2016']	[[2], [4], [6], [8]]	[[[8, 'Iowa team Iowa State Cyclones football']], [[6, 'National Hockey League team Detroit Red Wings'], [0, 'UEFA Euro 2016 team Croatia']], [[6, 'National Hockey League team Detroit Red Wings'], [4, 'UEFA Euro 2016 team Poland']], [[6, 'National Hockey League team Detroit Red Wings'], [5, 'UEFA Euro 2016 team Albania']], [[8, 'Iowa team Iowa State Cyclones football'], [0, 'UEFA Euro 2016 team Croatia']], [[8, 'Iowa team Iowa State Cyclones football'], [1, 'Iowa team Iowa Hawkeyes wrestling']], [[8, 'Iowa team Iowa State Cyclones football'], [4, 'UEFA Euro 2016 team Poland']], [[8, 'Iowa team Iowa State Cyclones football'], [5, 'UEFA Euro 2016 team Albania']]]	0	1
count	P54	How many teams has National Hockey League played for?	[]	None	[[]]	0	0
count	P54	How many teams has Iowa played for?	[1]	[[1]]	[[[1, 'Iowa team Iowa Hawkeyes wrestling'], [0, 'UEFA Euro 2016 team Croatia']]]	0	1
count	P54	How many people play for Portugal?	[1]	None	[[]]	0	0
count	P54	How many teams has UEFA Euro 2016 played for?	[2]	[[2], [3]]	[[[4, 'UEFA Euro 2016 team Portugal']], [[2, 'UEFA Euro 2016 team Slovakia'], [3, 'UEFA Euro 2016 team Switzerland']], [[2, 'UEFA Euro 2016 team Slovakia'], [4, 'UEFA Euro 2016 team Portugal']], [[3, 'UEFA Euro 2016 team Switzerland'], [4, 'UEFA Euro 2016 team Portugal']]]	0	1
bool	P118	Does Paysandu Sport Club participate in B.?	[]	[]	[[[0, 'Paysandu Sport Club division B.']]]	1	1
set	P54	Atlanta Falcons is a member of which teams?	['New York Jets', 'Detroit Lions']	[[0], [4]]	[[[0, 'Atlanta Falcons team New York Jets']], [[1, 'Atlanta Falcons team Pittsburgh Steelers']], [[2, 'Atlanta Falcons team Philadelphia Eagles']], [[3, 'Philadelphia team Eagles']], [[4, 'Atlanta Falcons team Detroit Lions']], [[9, 'Atlanta Falcons team Buffalo Bills']], [[0, 'Atlanta Falcons team New York Jets'], [1, 'Atlanta Falcons team Pittsburgh Steelers']], [[0, 'Atlanta Falcons team New York Jets'], [2, 'Atlanta Falcons team Philadelphia Eagles']], [[0, 'Atlanta Falcons team New York Jets'], [3, 'Philadelphia team Eagles']], [[0, 'Atlanta Falcons team New York Jets'], [4, 'Atlanta Falcons team Detroit Lions']], [[0, 'Atlanta Falcons team New York Jets'], [9, 'Atlanta Falcons team Buffalo Bills']], [[1, 'Atlanta Falcons team Pittsburgh Steelers'], [2, 'Atlanta Falcons team Philadelphia Eagles']], [[1, 'Atlanta Falcons team Pittsburgh Steelers'], [3, 'Philadelphia team Eagles']], [[1, 'Atlanta Falcons team Pittsburgh Steelers'], [4, 'Atlanta Falcons team Detroit Lions']], [[1, 'Atlanta Falcons team Pittsburgh Steelers'], [9, 'Atlanta Falcons team Buffalo Bills']], [[2, 'Atlanta Falcons team Philadelphia Eagles'], [3, 'Philadelphia team Eagles']], [[2, 'Atlanta Falcons team Philadelphia Eagles'], [4, 'Atlanta Falcons team Detroit Lions']], [[2, 'Atlanta Falcons team Philadelphia Eagles'], [9, 'Atlanta Falcons team Buffalo Bills']], [[3, 'Philadelphia team Eagles'], [4, 'Atlanta Falcons team Detroit Lions']], [[3, 'Philadelphia team Eagles'], [9, 'Atlanta Falcons team Buffalo Bills']], [[4, 'Atlanta Falcons team Detroit Lions'], [9, 'Atlanta Falcons team Buffalo Bills']]]	1	1
count	P54	How many teams has Aaron Telitz played for?	[]	[]	[[[0, 'Atlanta Falcons team New York Jets'], [1, 'Atlanta Falcons team Pittsburgh Steelers']], [[0, 'Atlanta Falcons team New York Jets'], [2, 'Atlanta Falcons team Philadelphia Eagles']], [[0, 'Atlanta Falcons team New York Jets'], [3, 'Philadelphia team Eagles']]]	1	1
set	P118	Who participates in Championship?	['Doncaster Rovers F.C.']	None	[[]]	0	0
count	P118	How many participants are there in C.?	[]	None	[[]]	0	0
min/max	P54	Who has played for the highest number of teams?	['2014 Tour of Turkey']	None	[[]]	0	0
min/max	P54	Who has played for the fewest teams?	['2014 Tour of Turkey', '2013 FIA World Endurance Championship']	[[0], [2, 4, 5, 7], [8], [9]]	[[[9, 'Atlanta Falcons team New England Patriots']], [[9, 'Atlanta Falcons team New England Patriots'], [0, 'Atlanta Falcons team Baltimore Ravens']], [[9, 'Atlanta Falcons team New England Patriots'], [1, '2013 FIA World Endurance Championship team Porsche AG Team Manthey Racing']]]	0	1
bool	P54	Is 2013 FIA World Endurance Championship part of Baltimore Ravens?	['FALSE']	[[1], [8]]	[[[0, 'Atlanta Falcons team Baltimore Ravens']], [[1, '2013 FIA World Endurance Championship team Porsche AG Team Manthey Racing']], [[8, '2013 FIA World Endurance Championship team Lotus']], [[0, 'Atlanta Falcons team Baltimore Ravens'], [1, '2013 FIA World Endurance Championship team Porsche AG Team Manthey Racing']], [[0, 'Atlanta Falcons team Baltimore Ravens'], [8, '2013 FIA World Endurance Championship team Lotus']], [[1, '2013 FIA World Endurance Championship team Porsche AG Team Manthey Racing'], [8, '2013 FIA World Endurance Championship team Lotus']]]	1	1
bool	P54	Does National Hockey League play for Iowa State Cyclones football?	['FALSE']	[[4], [6], [7]]	[[[0, 'National Hockey League team Toronto Maple Leafs'], [4, 'National Hockey League team Colorado Avalanche']], [[0, 'National Hockey League team Toronto Maple Leafs'], [5, 'Iowa team Iowa State Cyclones football']], [[0, 'National Hockey League team Toronto Maple Leafs'], [6, 'National Hockey League team Boston Bruins']], [[0, 'National Hockey League team Toronto Maple Leafs'], [7, 'National Hockey League team Pittsburgh Penguins']], [[0, 'National Hockey League team Toronto Maple Leafs'], [8, 'Indiana league National Football League']], [[4, 'National Hockey League team Colorado Avalanche'], [5, 'Iowa team Iowa State Cyclones football']], [[4, 'National Hockey League team Colorado Avalanche'], [6, 'National Hockey League team Boston Bruins']], [[4, 'National Hockey League team Colorado Avalanche'], [7, 'National Hockey League team Pittsburgh Penguins']], [[4, 'National Hockey League team Colorado Avalanche'], [8, 'Indiana league National Football League']], [[5, 'Iowa team Iowa State Cyclones football'], [6, 'National Hockey League team Boston Bruins']], [[5, 'Iowa team Iowa State Cyclones football'], [7, 'National Hockey League team Pittsburgh Penguins']], [[5, 'Iowa team Iowa State Cyclones football'], [8, 'Indiana league National Football League']], [[6, 'National Hockey League team Boston Bruins'], [7, 'National Hockey League team Pittsburgh Penguins']], [[6, 'National Hockey League team Boston Bruins'], [8, 'Indiana league National Football League']], [[7, 'National Hockey League team Pittsburgh Penguins'], [8, 'Indiana league National Football League']]]	0	1
set	P54	Who plays for Iowa Hawkeyes football?	['Iowa']	[[9]]	[[[5, 'Iowa team Iowa State Cyclones football']], [[5, 'Iowa team Iowa State Cyclones football'], [9, 'Iowa team Iowa Hawkeyes football']], [[8, 'Indiana league National Football League'], [4, 'National Hockey League team Colorado Avalanche']], [[8, 'Indiana league National Football League'], [5, 'Iowa team Iowa State Cyclones football']], [[8, 'Indiana league National Football League'], [9, 'Iowa team Iowa Hawkeyes football']]]	0	1
min/max	P118	What league has the fewest participants?	['National Football League']	None	[[]]	0	0
bool	P54	Does National Hockey League play for Iowa Hawkeyes football?	['FALSE']	[[0]]	[[[0, 'National Hockey League team Toronto Maple Leafs'], [4, 'National Hockey League team Colorado Avalanche']], [[0, 'National Hockey League team Toronto Maple Leafs'], [5, 'Iowa team Iowa State Cyclones football']], [[0, 'National Hockey League team Toronto Maple Leafs'], [6, 'National Hockey League team Boston Bruins']], [[0, 'National Hockey League team Toronto Maple Leafs'], [7, 'National Hockey League team Pittsburgh Penguins']], [[0, 'National Hockey League team Toronto Maple Leafs'], [8, 'Indiana league National Football League']], [[0, 'National Hockey League team Toronto Maple Leafs'], [9, 'Iowa team Iowa Hawkeyes football']], [[4, 'National Hockey League team Colorado Avalanche'], [5, 'Iowa team Iowa State Cyclones football']], [[4, 'National Hockey League team Colorado Avalanche'], [6, 'National Hockey League team Boston Bruins']], [[4, 'National Hockey League team Colorado Avalanche'], [7, 'National Hockey League team Pittsburgh Penguins']], [[4, 'National Hockey League team Colorado Avalanche'], [8, 'Indiana league National Football League']], [[4, 'National Hockey League team Colorado Avalanche'], [9, 'Iowa team Iowa Hawkeyes football']], [[5, 'Iowa team Iowa State Cyclones football'], [6, 'National Hockey League team Boston Bruins']], [[5, 'Iowa team Iowa State Cyclones football'], [7, 'National Hockey League team Pittsburgh Penguins']], [[5, 'Iowa team Iowa State Cyclones football'], [8, 'Indiana league National Football League']], [[5, 'Iowa team Iowa State Cyclones football'], [9, 'Iowa team Iowa Hawkeyes football']], [[6, 'National Hockey League team Boston Bruins'], [7, 'National Hockey League team Pittsburgh Penguins']], [[6, 'National Hockey League team Boston Bruins'], [8, 'Indiana league National Football League']], [[6, 'National Hockey League team Boston Bruins'], [9, 'Iowa team Iowa Hawkeyes football']], [[7, 'National Hockey League team Pittsburgh Penguins'], [8, 'Indiana league National Football League']], [[7, 'National Hockey League team Pittsburgh Penguins'], [9, 'Iowa team Iowa Hawkeyes football']], [[8, 'Indiana league National Football League'], [9, 'Iowa team Iowa Hawkeyes football']]]	0	1
set	P118	What league does Paysandu Sport Club play for?	['B.']	None	[[[9, 'A.S. Roma team Roma']]]	0	0
count	P54	How many teams has National Hockey League played for?	[1]	None	[]	0	0
min/max	P54	Who has played for the least number of different teams?	['1997 World Artistic Gymnastics Championships']	None	[[]]	0	0
