query_type	relation	query	correct output	system output	ssg output	Exact Match	Soft Match
bool	P54	Is Ahmed Al-Jahawi part of Northern Iowa Panthers football?	['FALSE']	[[2]]	[[[2, 'Ahmed Al-Jahawi plays for the Saudi Arabia national football team.']], [[1, 'Iowa team Iowa Hawkeyes football'], [8, 'Iowa team Northern Iowa Panthers football']], [[8, 'Iowa team Northern Iowa Panthers football'], [2, 'Ahmed Al-Jahawi plays for the Saudi Arabia national football team.']]]	1	1
set	P54	Iowa is a member of which teams?	['Northern Iowa Panthers football']	[[8]]	[[[1, 'Iowa team Iowa Hawkeyes football']], [[2, 'Ahmed Al-Jahawi plays for the Saudi Arabia national football team.']], [[8, 'Iowa team Northern Iowa Panthers football']], [[8, 'Iowa team Northern Iowa Panthers football'], [1, 'Iowa team Iowa Hawkeyes football']]]	1	1
set	P47	Which places neighbour Saint-Hymer?	[]	[]	[[[1, 'Canappeville is located in the Quatremare area.']], [[3, 'Combronde is located on the border with Teilhède.']]]	1	1
set	P47	What places are next to Quatremare?	['Canappeville']	[[1]]	[[[1, 'Canappeville is located in the Quatremare area.']], [[5, 'Le Bousquet is located in the Puyvalador region.']]]	1	1
count	P118	How many leagues has FC Spartak Varna played for?	[]	None	[[]]	0	0
min/max	P47	What is the place with the maximum number of borders?	['Canappeville', 'Quatremare', 'Teilhède', 'Combronde']	[[1], [3]]	[[[1, 'Canappeville is located in the Quatremare area.']], [[3, 'Combronde is located on the border with Teilhède.']]]	1	1
set	P69	Who went to Jaffna Hindu College?	['Nediyavan']	[[4]]	[[[4, 'Born on 28 August 1976 in Vaddukoddai, Nediyavan, a member of the Liberation Tigers of Tamil Eelam, is a human being who attended Jaffna Hindu College.']]]	1	1
count	P21	How many people are female connector?	[2]	[[2], [5]]	[[[2, 'Caerellia (born c. 1999) is a human being described by the Brockhaus and Efron Encyclopedic Dictionary. She is a woman.']], [[4, 'Born on 28 August 1976 in Vaddukoddai, Nediyavan, a member of the Liberation Tigers of Tamil Eelam, is a human being who attended Jaffna Hindu College.']], [[5, 'Saw Khway of Ava was a woman who was born in Inwa. She was a human being who was married to Minkhaung I.']]]	1	1
count	P19	Count the number of people born in Inwa	[]	[]	[[[2, 'Caerellia (born c. 1999) is a human being described by the Brockhaus and Efron Encyclopedic Dictionary. She is a woman.']], [[4, 'Born on 28 August 1976 in Vaddukoddai, Nediyavan, a member of the Liberation Tigers of Tamil Eelam, is a human being who attended Jaffna Hindu College.']]]	1	1
bool	P21	Is Caerellia male connector?	['FALSE']	None	[[[1, 'Mark A. Goldsmith, whose given name is Mark, graduated from Harvard Law School and the University of Michigan. He is an expert on human rights.']], [[4, 'Born on 28 August 1976 in Vaddukoddai, Nediyavan, a member of the Liberation Tigers of Tamil Eelam, is a human being who attended Jaffna Hindu College.']], [[5, 'Saw Khway of Ava was a woman who was born in Inwa. She was a human being who was married to Minkhaung I.']], [[6, 'Pierre-Constant Budin, a man named Pierre, was an officer of the Legion of Honour. He is also known as a human, and his description of it can be found in Obalky knih.cz.']], [[9, 'Igor Ponomarev is a human being and the name of his family. He was born Igor Ponomarev and studied at the Saint Petersburg State Marine Technical University.']]]	0	0
min/max	P1110	What event had the smallest turnout?	['1930 Coupe de France Final']	None	[[]]	0	0
set	P21	Who is male connector?	['Pierre-Constant Budin', 'Nediyavan', 'Igor Ponomarev']	[[4], [6], [9]]	[[[1, 'Mark A. Goldsmith, whose given name is Mark, graduated from Harvard Law School and the University of Michigan. He is an expert on human rights.']], [[4, 'Born on 28 August 1976 in Vaddukoddai, Nediyavan, a member of the Liberation Tigers of Tamil Eelam, is a human being who attended Jaffna Hindu College.']], [[5, 'Saw Khway of Ava was a woman who was born in Inwa. She was a human being who was married to Minkhaung I.']], [[6, 'Pierre-Constant Budin, a man named Pierre, was an officer of the Legion of Honour. He is also known as a human, and his description of it can be found in Obalky knih.cz.']], [[9, 'Igor Ponomarev is a human being and the name of his family. He was born Igor Ponomarev and studied at the Saint Petersburg State Marine Technical University.']]]	1	1
bool	P69	Did someone who is a female connector get his or her degree from University of Minnesota Duluth?	['TRUE']	[[3]]	"[[[0, ""Joanne Henke was born on 5 November 1958 in Australia. She is an alpine skier who competed in the 1976 Winter Olympics and was a competitor in the women's alpine skiing.""]], [[1, 'Julie Williams (born 1950) is a scientist who was born in 1950. She is the female employee of Cardiff University. She works in the field of human rights.']], [[3, 'Alison Aune is a female artist who graduated from Ohio University. She is a student at the University of Minnesota Duluth, where she studied Humanities.']]]"	1	1
set	P108	Who is employed by University of Tsukuba?	['Akihiko Matsui ( economist )']	None	[[]]	0	0
bool	P21	Is Ayoze Díaz male connector?	['TRUE']	[[4]]	"[[[3, 'Alison Aune is a female artist who graduated from Ohio University. She is a student at the University of Minnesota Duluth, where she studied Humanities.']], [[4, ""Ayoze Díaz was born in San Cristóbal de La Kingdom of Spain, on May 25th 1982 . He is an association Football player who played for the Spanish men's national football team.""]], [[7, 'Hezekiah Bissell was born in 1835 in the United States and graduated from Yale School of Engineering & Applied Science . Hezekiah Bissell was a Civil engineer and he was a man of great ability.']], [[9, 'Patrick Kazadi who is a Football player was born in Brazzaville, the Republic of the Congo on March 29th 1973 . He is a man of letters.']]]"	1	1
bool	P19	Was Patrick Kazadi born in Brazzaville?	['TRUE']	[[9]]	[[[9, 'Patrick Kazadi who is a Football player was born in Brazzaville, the Republic of the Congo on March 29th 1973 . He is a man of letters.']]]	1	1
set	P27	Who are the nationals of China?	['Stella Zhou']	None	[[]]	0	0
set	P106	Who works as a Civil engineer?	['Hezekiah Bissell']	[[7]]	"[[[4, ""Ayoze Díaz was born in San Cristóbal de La Kingdom of Spain, on May 25th 1982 . He is an association Football player who played for the Spanish men's national football team.""]], [[7, 'Hezekiah Bissell was born in 1835 in the United States and graduated from Yale School of Engineering & Applied Science . Hezekiah Bissell was a Civil engineer and he was a man of great ability.']]]"	1	1
bool	P69	Did someone who is employed by University of Minnesota Duluth get their degree from Ohio University?	['TRUE']	[[3]]	"[[[0, ""Joanne Henke was born on 5 November 1958 in Australia. She is an alpine skier who competed in the 1976 Winter Olympics and was a competitor in the women's alpine skiing.""]], [[1, 'Julie Williams (born 1950) is a scientist who was born in 1950. She is the female employee of Cardiff University. She works in the field of human rights.']], [[3, 'Alison Aune is a female artist who graduated from Ohio University. She is a student at the University of Minnesota Duluth, where she studied Humanities.']], [[7, 'Hezekiah Bissell was born in 1835 in the United States and graduated from Yale School of Engineering & Applied Science . Hezekiah Bissell was a Civil engineer and he was a man of great ability.']]]"	1	1
count	P106	How many jobs has Ayoze Díaz had?	[1]	None	"[[[0, ""Joanne Henke was born on 5 November 1958 in Australia. She is an alpine skier who competed in the 1976 Winter Olympics and was a competitor in the women's alpine skiing.""]], [[1, 'Julie Williams (born 1950) is a scientist who was born in 1950. She is the female employee of Cardiff University. She works in the field of human rights.']], [[3, 'Alison Aune is a female artist who graduated from Ohio University. She is a student at the University of Minnesota Duluth, where she studied Humanities.']], [[5, 'Stella Zhou was born in China in 1973. She is a female tennis player. She also plays table tennis and is a human being.']]]"	0	0
bool	P108	Does Alison Aune work for University of Tsukuba?	['FALSE']	[[3]]	"[[[0, ""Joanne Henke was born on 5 November 1958 in Australia. She is an alpine skier who competed in the 1976 Winter Olympics and was a competitor in the women's alpine skiing.""]], [[1, 'Julie Williams (born 1950) is a scientist who was born in 1950. She is the female employee of Cardiff University. She works in the field of human rights.']], [[3, 'Alison Aune is a female artist who graduated from Ohio University. She is a student at the University of Minnesota Duluth, where she studied Humanities.']], [[5, 'Stella Zhou was born in China in 1973. She is a female tennis player. She also plays table tennis and is a human being.']]]"	1	1
bool	P108	Is Federazione Sammarinese Tennis the employer of Francesca Guardigli?	['TRUE']	[[5]]	[[[5, 'Francesca Guardigli is a human being who works for the Federazione Sammarinese Tennis. She also plays for the San Marino Fed Cup team.']]]	1	1
set	P21	Which people are male connector?	"['DJ Trevi', ""Bashar ibn Shu'aib"", 'Daniel Attah', 'Igor Ponomarev', 'Teymuraz Edisherashvili']"	[[1], [3], [4], [8], [9]]	"[[[1, 'DJ Trevi was born in the United States on 27 June 1990 . He is a Disc jockey and Actor . He is a Record producer and he is a man.']], [[3, ""Teymuraz Edisherashvili was born September 26, 1973 in Russia. He is a human being who competed in the 1996 Summer Olympics in the men's freestyle wrestling.""]], [[4, 'Igor Ponomarev is a human being and the name of his family. He was born Igor Ponomarev and studied at the Saint Petersburg State Marine Technical University.']], [[8, ""Bashar ibn Shu'aib is a Mathematician who studies human beings . He is a man.""]], [[9, 'Daniel Attah was born November 20, 1978. He is a human being and a boxer. His sport is boxing. He is a man of many talents.']]]"	1	1
count	P21	How many people are male connector?	[5]	[[1], [3], [4], [8], [9]]	"[[[1, 'DJ Trevi was born in the United States on 27 June 1990 . He is a Disc jockey and Actor . He is a Record producer and he is a man.']], [[3, ""Teymuraz Edisherashvili was born September 26, 1973 in Russia. He is a human being who competed in the 1996 Summer Olympics in the men's freestyle wrestling.""]], [[4, 'Igor Ponomarev is a human being and the name of his family. He was born Igor Ponomarev and studied at the Saint Petersburg State Marine Technical University.']], [[8, ""Bashar ibn Shu'aib is a Mathematician who studies human beings . He is a man.""]], [[9, 'Daniel Attah was born November 20, 1978. He is a human being and a boxer. His sport is boxing. He is a man of many talents.']]]"	1	1
count	P54	How many people play for Aris Limassol?	[1]	None	[[[0, 'Sander Puri plays for MFK Karviná.']]]	0	0
bool	P21	Is Joanne Henke male connector?	['FALSE']	[[6]]	"[[[4, 'Igor Ponomarev is a human being and the name of his family. He was born Igor Ponomarev and studied at the Saint Petersburg State Marine Technical University.']], [[6, ""Joanne Henke was born on 5 November 1958 in Australia. She is an alpine skier who competed in the 1976 Winter Olympics and was a competitor in the women's alpine skiing.""]]]"	1	1
count	P27	How many nationals does United States have?	[]	[]	[[[1, 'DJ Trevi was born in the United States on 27 June 1990 . He is a Disc jockey and Actor . He is a Record producer and he is a man.']]]	1	1
count	P21	How many people are male connector?	[3]	[[1], [3], [4]]	"[[[1, 'DJ Trevi was born in the United States on 27 June 1990 . He is a Disc jockey and Actor . He is a Record producer and he is a man.']], [[3, ""Teymuraz Edisherashvili was born September 26, 1973 in Russia. He is a human being who competed in the 1996 Summer Olympics in the men's freestyle wrestling.""]], [[4, 'Igor Ponomarev is a human being and the name of his family. He was born Igor Ponomarev and studied at the Saint Petersburg State Marine Technical University.']]]"	1	1
bool	P106	Is Teymuraz Edisherashvili an alpine skier?	['FALSE']	None	"[[[6, ""Joanne Henke was born on 5 November 1958 in Australia. She is an alpine skier who competed in the 1976 Winter Olympics and was a competitor in the women's alpine skiing.""]]]"	0	0
bool	P106	Is Jennifer Byrne an Football player?	['FALSE']	[[7]]	[[[7, 'Jennifer Byrne was born in Melbourne, Australia on March 5, 1955 . She is a Journalist and Television presenter . Jennifer Byrne is a woman.']]]	1	1
count	P19	How many people were born in Melbourne?	[1]	[[7]]	"[[[0, 'Su Tong was born in Suzhou, China on 23 January 1963 . He is a Writer and ScreenWriter . He is a man.']], [[1, 'Jorge Ignacio Cortiñas is a Playwright and human being from the United States . Jorge Ignacio Cortiñas was born in the U.S.A . He is also known as Jorge Ignacio Cortiñas.']], [[2, 'Daniel Attah was born November 20, 1978. He is a human being and a boxer. His sport is boxing. He is a man of many talents.']], [[4, ""Ryota Watanabe was born in Japan on 11 March 1991 in Tokyo . He is an association Football player who has represented Japan at the men's international level.""]], [[5, 'Caio Mendes, a human, is a member of Marília Atlético Clube.']], [[6, 'José Eduardo Fialho Gouveia, born in 1901, is a Journalist and human being . He was known as a man of letters.']], [[7, 'Jennifer Byrne was born in Melbourne, Australia on March 5, 1955 . She is a Journalist and Television presenter . Jennifer Byrne is a woman.']]]"	1	1
min/max	P27	Which country has the lowest number of nationals?	['China', 'United States']	[[0], [1]]	[[[0, 'Su Tong was born in Suzhou, China on 23 January 1963 . He is a Writer and ScreenWriter . He is a man.']], [[1, 'Jorge Ignacio Cortiñas is a Playwright and human being from the United States . Jorge Ignacio Cortiñas was born in the U.S.A . He is also known as Jorge Ignacio Cortiñas.']], [[2, 'Daniel Attah was born November 20, 1978. He is a human being and a boxer. His sport is boxing. He is a man of many talents.']]]	1	1
set	P19	List everyone born in Tokyo	['Ryota Watanabe']	[[4]]	"[[[1, 'Jorge Ignacio Cortiñas is a Playwright and human being from the United States . Jorge Ignacio Cortiñas was born in the U.S.A . He is also known as Jorge Ignacio Cortiñas.']], [[4, ""Ryota Watanabe was born in Japan on 11 March 1991 in Tokyo . He is an association Football player who has represented Japan at the men's international level.""]]]"	1	1
count	P27	How many nationals does Japan have?	[1]	None	[[[7, 'Jennifer Byrne was born in Melbourne, Australia on March 5, 1955 . She is a Journalist and Television presenter . Jennifer Byrne is a woman.']]]	0	0
bool	P106	Does Ryota Watanabe work as an Journalist?	['FALSE']	None	[[[7, 'Jennifer Byrne was born in Melbourne, Australia on March 5, 1955 . She is a Journalist and Television presenter . Jennifer Byrne is a woman.']]]	0	0
set	P21	List everyone who is male connector	['Daniel Attah', 'Jorge Ignacio Cortiñas', 'Su Tong']	[[0], [1], [2]]	"[[[0, 'Su Tong was born in Suzhou, China on 23 January 1963 . He is a Writer and ScreenWriter . He is a man.']], [[1, 'Jorge Ignacio Cortiñas is a Playwright and human being from the United States . Jorge Ignacio Cortiñas was born in the U.S.A . He is also known as Jorge Ignacio Cortiñas.']], [[2, 'Daniel Attah was born November 20, 1978. He is a human being and a boxer. His sport is boxing. He is a man of many talents.']], [[4, ""Ryota Watanabe was born in Japan on 11 March 1991 in Tokyo . He is an association Football player who has represented Japan at the men's international level.""]]]"	1	1
min/max	P54	Who has played for the highest number of teams?	['Valeri Yevgenyevich Sorokin']	[[9]]	"[[[3, 'Pere Valentí Mora played for the Spain national under-23 football team from 1969 to 1971.']], [[9, ""Valeri Yevgenyevich Sorokin's football career began in 2006 when he played for FC Spartak Nizhny Novgorod. He retired in January 2006 and a loan was used to acquire the club.""]]]"	1	1
bool	P27	Does Jennifer Byrne have the nationality of Australia?	[]	None	[[]]	0	0
bool	P54	Is Ýokary Liga part of Aston Martin Racing?	['FALSE']	None	[[]]	0	0
min/max	P1110	How many went to the largest event?	[]	None	[[]]	0	0
min/max	P1110	What event had the best attendance?	[]	None	[[]]	0	0
count	P1082	How many people live in Havetoftloit?	[1]	[[2]]	[[[2, 'Havetoftloit has a population of 808.']], [[5, 'Tišnovská Nová Ves has a population of +193.']]]	1	1
min/max	P1174	What is the largest attendance?	[5839197.0]	[[7]]	[[[2, 'Havetoftloit has a population of 808.']], [[3, 'Gnosjö Municipality has a population of +9702.']], [[5, 'Tišnovská Nová Ves has a population of +193.']], [[7, 'The Tate Modern has a visitor count of 5839197 visitors per year.']]]	1	1
min/max	P1082	Which place has the biggest population?	['Gnosjö Municipality']	[[2], [3], [5], [8]]	"[[[0, ""Mogorella is a neighbour of Villa Sant'Antonio.""]], [[2, 'Havetoftloit has a population of 808.']], [[3, 'Gnosjö Municipality has a population of +9702.']], [[5, 'Tišnovská Nová Ves has a population of +193.']], [[6, ""Le Soler is in the neighbouring commune of Saint-Féliu-d'Avall.""]], [[8, 'Bursins has a population of 738.']]]"	1	1
min/max	P1082	What place has the fewest people living there?	['Tišnovská Nová Ves']	None	[[]]	0	0
min/max	P1174	What is the attraction with the highest visitor count per year?	['Tate Modern']	[[7]]	[[[7, 'The Tate Modern has a visitor count of 5839197 visitors per year.']]]	1	1
count	P27	How many nationalities does Jennifer Byrne have?	[1]	[[3]]	[[[3, 'Jennifer Byrne was born in Melbourne, Australia on March 5, 1955 . She is a Journalist and Television presenter . Jennifer Byrne is a woman.']]]	1	1
min/max	P19	What is the place with the highest number of births?	[]	[]	[[[2, 'Pierre-Constant Budin, a man named Pierre, was an officer of the Legion of Honour. He is also known as a human, and his description of it can be found in Obalky knih.cz.']], [[3, 'Jennifer Byrne was born in Melbourne, Australia on March 5, 1955 . She is a Journalist and Television presenter . Jennifer Byrne is a woman.']]]	1	1
bool	P106	Is Jennifer Byrne an Playwright?	['FALSE']	[[3]]	[[[3, 'Jennifer Byrne was born in Melbourne, Australia on March 5, 1955 . She is a Journalist and Television presenter . Jennifer Byrne is a woman.']]]	1	1
count	P21	How many people are male connector?	[5]	[[2], [4], [5], [6], [8]]	"[[[2, 'Pierre-Constant Budin, a man named Pierre, was an officer of the Legion of Honour. He is also known as a human, and his description of it can be found in Obalky knih.cz.']], [[4, 'Frank Marzano, a human, was awarded the IEEE Fellow award. His surname is Frank, he is a man.']], [[5, 'Arthur J. Nascarella, born Arthur J. Nascarella, served in the United States Marine Corps and is a human being.']], [[6, ""Oumar Abakar was born in N'Djamena, Chad on September 1, 1979 . He is an association Football player and he is a man of color.""]], [[8, 'Jorge Ignacio Cortiñas is a Playwright and human being from the United States . Jorge Ignacio Cortiñas was born in the U.S.A . He is also known as Jorge Ignacio Cortiñas.']]]"	1	1
